"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","RequestsServiceTest","","RequestsServiceTest","","TestFilterRequestsById",""
"failed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","RequestsServiceTest","","RequestsServiceTest","","TestFilterRequestsByDate",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","RequestsServiceTest","","RequestsServiceTest","","GetRequestById_AccessDenied",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","FileServiceTest","","FileServiceTest","","GetFile_FileNotFound",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","AuthServiceTest","","AuthServiceTest","","TestAuthMissingToken",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","FileServiceTest","","FileServiceTest","","UploadFile_FileStorageException",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","PermissionServiceTest","","PermissionServiceTest","","TestGetAllRequests",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","RequestsServiceTest","","RequestsServiceTest","","GetAll_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","EventServiceTest","","EventServiceTest","","GetAllEvents_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","RequestsServiceTest","","RequestsServiceTest","","TestFilterRequestsByAuthor",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","AuthServiceTest","","AuthServiceTest","","TestAuthSuccess",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","FileServiceTest","","FileServiceTest","","GetFile_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","3","","RequestsServiceTest","","RequestsServiceTest","","GetRequestById_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","IdmServiceTest","","IdmServiceTest","","TestHandleIdmRequestNotAllowed",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","AuthServiceTest","","AuthServiceTest","","TestBadTokenFormat",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","RequestsServiceTest","","RequestsServiceTest","","UpdateRequest_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","1","","RequestsServiceTest","","RequestsServiceTest","","AddRequest_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","AuthServiceTest","","AuthServiceTest","","TestAuthPermissionDenied",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","EventServiceTest","","EventServiceTest","","AddEvent_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","1","","FileServiceTest","","FileServiceTest","","UploadFile_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","RequestsServiceTest","","RequestsServiceTest","","AddComment_Success",""
"passed","Wed Nov 27 23:49:29 GMT 2024","Wed Nov 27 23:49:29 GMT 2024","0","","IdmServiceTest","","IdmServiceTest","","TestHandleIdmRequestSuccess",""
